epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
87,406.96,0.58225,0.52487,0.882,0.59455,0.64591,0.62143,0.49231,0.76845,1.25867,0.89232,0.000581,0.000581,0.000581
88,411.627,0.60612,0.5374,0.87823,0.594,0.62646,0.59819,0.4809,0.79112,1.39753,0.89748,0.0005645,0.0005645,0.0005645
89,416.19,0.59153,0.51548,0.8856,0.59588,0.64832,0.63104,0.50725,0.74503,1.25164,0.89035,0.000548,0.000548,0.000548
90,420.752,0.56692,0.53285,0.87256,0.65149,0.62646,0.60777,0.48775,0.75781,1.22576,0.89851,0.0005315,0.0005315,0.0005315
91,425.235,0.56955,0.51216,0.87626,0.63296,0.6537,0.62583,0.50167,0.74213,1.10368,0.89124,0.000515,0.000515,0.000515
92,429.94,0.56801,0.52125,0.86851,0.65249,0.64202,0.64063,0.50624,0.73801,1.09479,0.88475,0.0004985,0.0004985,0.0004985
93,434.552,0.56491,0.48142,0.87407,0.63598,0.66537,0.63938,0.51069,0.72408,1.15619,0.88619,0.000482,0.000482,0.000482
94,439.096,0.53592,0.488,0.86982,0.64541,0.60311,0.61654,0.49944,0.72458,1.38486,0.88201,0.0004655,0.0004655,0.0004655
95,443.655,0.59126,0.51196,0.87707,0.63373,0.61479,0.6231,0.50446,0.71655,1.38237,0.8815,0.000449,0.000449,0.000449
96,448.198,0.56674,0.49998,0.86637,0.57847,0.66148,0.62542,0.50661,0.72508,1.28936,0.88272,0.0004325,0.0004325,0.0004325
97,452.866,0.5857,0.51553,0.87798,0.69534,0.57977,0.62017,0.49883,0.75844,1.26661,0.89106,0.000416,0.000416,0.000416
98,457.628,0.55666,0.49215,0.88218,0.65401,0.58106,0.59959,0.4795,0.76535,1.339,0.89546,0.0003995,0.0003995,0.0003995
99,462.232,0.56162,0.50116,0.87625,0.58978,0.6881,0.63002,0.50561,0.76234,1.30137,0.89415,0.000383,0.000383,0.000383
100,466.94,0.59639,0.49723,0.88376,0.63883,0.63813,0.62913,0.50234,0.75436,1.35095,0.89154,0.0003665,0.0003665,0.0003665
101,471.665,0.52744,0.47048,0.86562,0.63384,0.66148,0.63603,0.51595,0.73589,1.36475,0.88625,0.00035,0.00035,0.00035
102,476.228,0.54016,0.45708,0.86587,0.63165,0.65759,0.64069,0.51677,0.73926,1.32248,0.88823,0.0003335,0.0003335,0.0003335
103,480.967,0.54288,0.45811,0.87112,0.63742,0.62646,0.61031,0.49236,0.74931,1.3953,0.88836,0.000317,0.000317,0.000317
104,485.631,0.54004,0.47618,0.86182,0.6358,0.65212,0.63062,0.51015,0.74437,1.30047,0.88561,0.0003005,0.0003005,0.0003005
105,490.06,0.56043,0.47787,0.87902,0.61186,0.62566,0.61353,0.49627,0.75037,1.32898,0.89148,0.000284,0.000284,0.000284
106,494.592,0.55337,0.47827,0.87136,0.60701,0.63035,0.6158,0.50113,0.73794,1.36327,0.88891,0.0002675,0.0002675,0.0002675
107,499.176,0.54233,0.47895,0.8747,0.61246,0.68482,0.64375,0.52233,0.72512,1.40311,0.88106,0.000251,0.000251,0.000251
108,503.743,0.5361,0.45562,0.86525,0.65236,0.63424,0.62749,0.51064,0.71725,1.50478,0.88373,0.0002345,0.0002345,0.0002345
109,508.596,0.54545,0.45834,0.85871,0.62292,0.63813,0.60627,0.49202,0.72028,1.66093,0.88624,0.000218,0.000218,0.000218
110,513.468,0.51773,0.45113,0.8755,0.61779,0.63522,0.59341,0.4806,0.73353,1.75786,0.89002,0.0002015,0.0002015,0.0002015
111,548.194,0.55512,0.49313,0.87002,0.57709,0.67962,0.59425,0.47789,0.75836,1.86518,0.90319,0.000185,0.000185,0.000185
112,552.92,0.5639,0.45842,0.87309,0.58907,0.65759,0.6026,0.48494,0.77585,1.73948,0.91878,0.0001685,0.0001685,0.0001685
113,557.53,0.51402,0.4041,0.85144,0.57807,0.66148,0.60456,0.48962,0.76679,1.73988,0.90888,0.000152,0.000152,0.000152
114,562.187,0.53728,0.40092,0.855,0.57577,0.67315,0.60755,0.49124,0.75917,1.74147,0.90411,0.0001355,0.0001355,0.0001355
115,566.938,0.52361,0.40711,0.86377,0.5918,0.64309,0.60938,0.49348,0.75659,1.72667,0.90436,0.000119,0.000119,0.000119
116,571.912,0.50452,0.37126,0.83616,0.6185,0.63813,0.61334,0.49284,0.7622,1.69073,0.90665,0.0001025,0.0001025,0.0001025
117,576.727,0.49765,0.38038,0.85219,0.60597,0.64202,0.61268,0.49256,0.76638,1.70191,0.90834,8.6e-05,8.6e-05,8.6e-05
118,581.261,0.51694,0.37374,0.85837,0.60546,0.63813,0.61334,0.49187,0.7648,1.70338,0.9074,6.95e-05,6.95e-05,6.95e-05
119,585.742,0.48199,0.35997,0.85115,0.61222,0.64981,0.60993,0.48894,0.77164,1.7244,0.90859,5.3e-05,5.3e-05,5.3e-05
120,590.359,0.50476,0.38557,0.85039,0.6071,0.64591,0.61105,0.48416,0.77077,1.7159,0.90907,3.65e-05,3.65e-05,3.65e-05
