epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
61,2794.18,0.40669,0.21499,0.95437,0.28965,0.12062,0.13156,0.09505,2.05813,4.67032,1.88861,0.000812,0.000812,0.000812
62,2839.47,0.4037,0.21581,0.95157,0.56659,0.16278,0.21467,0.15156,1.88998,4.03872,1.73105,0.0007922,0.0007922,0.0007922
63,2884.62,0.39835,0.21073,0.95017,0.58731,0.16732,0.20976,0.14969,1.87823,3.55002,1.6875,0.0007724,0.0007724,0.0007724
64,2930.06,0.39572,0.21325,0.94728,0.48032,0.15564,0.17174,0.12648,1.81929,4.00476,1.6375,0.0007526,0.0007526,0.0007526
65,2975.23,0.39317,0.20938,0.94718,0.35889,0.15684,0.16776,0.12644,1.74795,3.70329,1.57506,0.0007328,0.0007328,0.0007328
66,3020.46,0.39784,0.21002,0.94578,0.36846,0.15175,0.17744,0.12858,1.90296,3.99035,1.67937,0.000713,0.000713,0.000713
67,3065.69,0.39108,0.20817,0.94496,0.43066,0.16732,0.20108,0.15158,1.73025,3.62109,1.54315,0.0006932,0.0006932,0.0006932
68,3111.94,0.39066,0.20889,0.94527,0.43186,0.14397,0.15405,0.11717,1.93288,4.26267,1.74698,0.0006734,0.0006734,0.0006734
69,3156.94,0.38913,0.20636,0.94184,0.4486,0.14008,0.18696,0.13552,1.95571,4.09066,1.82721,0.0006536,0.0006536,0.0006536
70,3202.16,0.39236,0.20516,0.94782,0.29731,0.1323,0.16001,0.1107,2.02334,4.25064,1.84353,0.0006338,0.0006338,0.0006338
71,3246.86,0.38345,0.20207,0.94097,0.29058,0.12062,0.14693,0.11071,1.9679,4.50704,1.7787,0.000614,0.000614,0.000614
72,3291.9,0.38631,0.20302,0.9444,0.39599,0.14008,0.16814,0.12525,1.94497,4.63962,1.80272,0.0005942,0.0005942,0.0005942
73,3336.67,0.38756,0.20382,0.9419,0.50261,0.14008,0.17532,0.12444,2.00781,4.64182,1.89558,0.0005744,0.0005744,0.0005744
74,3381.93,0.38768,0.20138,0.94695,0.40125,0.12451,0.14629,0.11116,1.96036,4.71867,1.83463,0.0005546,0.0005546,0.0005546
75,3427.46,0.38778,0.20171,0.94481,0.42147,0.14008,0.15563,0.12564,1.77398,4.1327,1.67341,0.0005348,0.0005348,0.0005348
76,3473.21,0.37942,0.19788,0.9394,0.46087,0.13619,0.17018,0.13509,1.90213,4.59791,1.7883,0.000515,0.000515,0.000515
77,3518.86,0.3813,0.1986,0.9396,0.456,0.14678,0.18042,0.14208,1.79692,4.43454,1.71855,0.0004952,0.0004952,0.0004952
78,3563.74,0.37638,0.19699,0.94012,0.45509,0.12451,0.15278,0.11676,1.87752,4.62172,1.75223,0.0004754,0.0004754,0.0004754
79,3608.95,0.37637,0.19716,0.94139,0.45102,0.13619,0.17834,0.13588,1.81932,4.18914,1.68207,0.0004556,0.0004556,0.0004556
80,3654.54,0.36947,0.19417,0.9338,0.53728,0.12451,0.18201,0.13926,1.85897,4.31293,1.73017,0.0004358,0.0004358,0.0004358
81,3699.72,0.37676,0.1958,0.93824,0.37633,0.13619,0.1667,0.12555,1.82009,4.24571,1.69913,0.000416,0.000416,0.000416
82,3746.13,0.37457,0.19472,0.93852,0.33073,0.13268,0.15396,0.11638,1.84696,4.30235,1.68432,0.0003962,0.0003962,0.0003962
83,3790.81,0.36812,0.19189,0.93406,0.34736,0.12062,0.15173,0.11371,1.90109,4.37424,1.76006,0.0003764,0.0003764,0.0003764
84,3835.72,0.3689,0.19192,0.93648,0.32905,0.1323,0.14171,0.11013,1.89689,4.37975,1.76563,0.0003566,0.0003566,0.0003566
85,3880.83,0.36358,0.18835,0.93183,0.38202,0.11284,0.14737,0.11235,1.85866,4.41471,1.71873,0.0003368,0.0003368,0.0003368
86,3926.96,0.36702,0.19051,0.93477,0.39285,0.11284,0.14388,0.10914,1.86035,4.56038,1.71736,0.000317,0.000317,0.000317
